"Zipcode","Neighbourhood.Cleansed","Property.Type","Room.Type","Accommodates","Bathrooms","Bedrooms","Beds","Bed.Type","Amenities","Square.Feet","Price","Review.Scores.Rating"
"28004","Universidad","Apartment","Entire home/apt",4,1,1,2,"Real Bed","TV,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo",40,70,90
"28004","Universidad","Apartment","Private room",2,1,1,1,"Real Bed","Internet,Wireless Internet,Kitchen,Smoking allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,First aid kit,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace",NA,39,90
"28013","Sol","Apartment","Private room",1,2,1,1,"Real Bed","TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Washer,24-hour check-in,Hangers,Laptop friendly workspace,Self Check-In,Doorman Entry",NA,39,80
"28005","Sol","Apartment","Private room",2,1,1,1,"Real Bed","TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Pets live on this property,Cat(s),Heating,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",NA,46,97
"28013","Sol","Apartment","Entire home/apt",4,1,1,1,"Real Bed","TV,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Suitable for events,Washer,Essentials,Hangers,Hair dryer,Iron",646,75,91
"28013","Sol","Condominium","Entire home/apt",6,1,2,3,"Real Bed","TV,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,Hangers,Hair dryer,Iron",NA,130,100
"28013","Sol","Apartment","Entire home/apt",4,1,1,2,"Real Bed","TV,Internet,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace",NA,100,97
"28012","Sol","Apartment","Entire home/apt",6,1,2,2,"Real Bed","TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace",NA,160,95
"28013","Sol","Apartment","Entire home/apt",4,1,1,2,"Real Bed","TV,Internet,Wireless Internet,Air conditioning,Kitchen,Heating,Washer,Essentials,Hangers,Hair dryer,translation missing: en.hosting_amenity_50",NA,49,95
"28013","Sol","Apartment","Private room",2,5,1,1,"Real Bed","TV,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Dryer,Smoke detector,Fire extinguisher,Essentials,Lock on bedroom door,24-hour check-in,Hangers,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",NA,31,40
"28013","Sol","Apartment","Entire home/apt",4,1,1,2,"Real Bed","TV,Wireless Internet,Kitchen,Pets allowed,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Laptop friendly workspace",NA,70,88
"28005","Sol","Apartment","Entire home/apt",10,2,4,7,"Real Bed","TV,Internet,Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Washer,Essentials",NA,210,81
"28013","Sol","Apartment","Entire home/apt",6,1,2,4,"Real Bed","TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Safety card,Essentials,Shampoo,Hangers,Hair dryer,Iron",NA,120,99
"28012","Sol","Apartment","Entire home/apt",4,1,1,2,"Real Bed","TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace",NA,50,91
"28012","Sol","Apartment","Entire home/apt",4,1,1,1,"Real Bed","TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Hair dryer,Iron",753,100,87
"28013","Sol","Apartment","Entire home/apt",4,1,1,2,"Real Bed","TV,Internet,Wireless Internet,Air conditioning,Kitchen,Breakfast,Elevator in building,Heating,Family/kid friendly,Washer,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace",NA,75,100
"28014","Sol","Condominium","Entire home/apt",8,2,2,5,"Real Bed","TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace",NA,155,93
"28013","Sol","Apartment","Entire home/apt",6,2,2,3,"Real Bed","TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Essentials,Hangers,Hair dryer,Iron",NA,155,80
"28012","Sol","Apartment","Private room",1,1,1,1,"Real Bed","TV,Cable TV,Internet,Wireless Internet,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo",NA,15,100
"28005","Sol","Apartment","Entire home/apt",8,1,3,4,"Real Bed","TV,Internet,Wireless Internet,Kitchen,Breakfast,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,Self Check-In,Lockbox",NA,163,100
"28005","Imperial","Apartment","Entire home/apt",3,1,1,1,"Real Bed","TV,Internet,Wireless Internet,Kitchen,Pets allowed,Elevator in building,Heating,Family/kid friendly,Washer,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50",NA,70,95
"28005","Imperial","Apartment","Entire home/apt",3,1,2,2,"Real Bed","TV,Wireless Internet,Kitchen,Heating,Family/kid friendly,Washer,Essentials,Hair dryer,translation missing: en.hosting_amenity_50",NA,49,88
"28005","Imperial","Apartment","Private room",2,1,1,1,"Real Bed","TV,Internet,Wireless Internet,Wheelchair accessible,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo",NA,45,NA
"28012","Acacias","Apartment","Private room",2,1,1,1,"Real Bed","Wireless Internet,Kitchen,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49",NA,32,NA
"28005","Acacias","Bed & Breakfast","Private room",2,1,1,1,"Real Bed","TV,Wireless Internet,Air conditioning,Kitchen,Breakfast,Elevator in building,Heating,Essentials,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",NA,25,NA
"28005","Acacias","House","Entire home/apt",4,2,2,4,"Real Bed","TV,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace",NA,90,92
"28045","Acacias","Apartment","Private room",1,1,1,1,"Real Bed","TV,Internet,Kitchen,Smoking allowed,Elevator in building,Heating,Family/kid friendly,Suitable for events,Washer,Essentials,translation missing: en.hosting_amenity_50",NA,19,80
"28005","Acacias","Bed & Breakfast","Private room",3,2,1,1,"Real Bed","Wireless Internet,Air conditioning,Kitchen,Breakfast,Elevator in building,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo,translation missing: en.hosting_amenity_49",NA,39,89
"28005","Acacias","House","Private room",1,NA,1,NA,"Real Bed","",NA,40,90
"28005","Acacias","Apartment","Private room",2,1,1,1,"Real Bed","TV,Internet,Wheelchair accessible,Pool,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Washer,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",NA,37,90
"28005","Acacias","Apartment","Private room",2,1,1,1,"Real Bed","Wireless Internet,Air conditioning,Kitchen,Heating,Essentials,Shampoo,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",NA,28,100
"28005","Acacias","Apartment","Private room",1,1,1,1,"Real Bed","TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Smoking allowed,Gym,Elevator in building,Heating,Washer,Iron",NA,18,100
"28013","Sol","Apartment","Entire home/apt",4,1,1,1,"Pull-out Sofa","TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,First aid kit,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50",NA,64,97
"28013","Sol","Apartment","Entire home/apt",6,2,2,2,"Real Bed","TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Washer,Essentials,Shampoo",NA,109,90
"28013","Sol","Apartment","Entire home/apt",3,1,1,2,"Real Bed","TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron",NA,67,95
"28013","Sol","Apartment","Entire home/apt",2,1,1,1,"Real Bed","TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo,Hair dryer,Iron",269,65,93
"28013","Sol","Apartment","Entire home/apt",3,1,0,2,"Real Bed","TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Washer,Fire extinguisher,Essentials,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",0,41,89
"28012","Sol","Apartment","Entire home/apt",3,1,1,1,"Real Bed","TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Heating,Family/kid friendly,Washer,Essentials",NA,109,92
"28013","Sol","Apartment","Entire home/apt",4,1,2,2,"Real Bed","TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace",NA,71,93
"28012","Sol","Apartment","Entire home/apt",4,2,2,2,"Real Bed","TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace",NA,110,98
"28013","Sol","Apartment","Private room",2,5,1,1,"Real Bed","TV,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Smoke detector,Fire extinguisher,Essentials,Lock on bedroom door,Hangers,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",NA,33,100
"28013","Sol","Condominium","Entire home/apt",4,1,1,1,"Real Bed","TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Hot tub,Heating,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",NA,150,80
"28013","Sol","Apartment","Entire home/apt",4,1,1,3,"Real Bed","TV,Internet,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Private entrance",NA,110,95
"28012","Sol","Bed & Breakfast","Shared room",10,0,1,10,"Real Bed","Wireless Internet,Air conditioning,Doorman,Elevator in building,Heating,Family/kid friendly,First aid kit,Safety card,Fire extinguisher",NA,20,92
"28013","Sol","Apartment","Entire home/apt",4,1,2,3,"Real Bed","TV,Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace",NA,90,100
"28013","Sol","Apartment","Private room",2,1.5,1,1,"Real Bed","TV,Wireless Internet,Kitchen,Heating,Washer,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",NA,59,89
"28012","Sol","Apartment","Entire home/apt",4,1,1,1,"Pull-out Sofa","TV,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace",NA,84,96
"27013","Sol","Bed & Breakfast","Private room",2,1,1,1,"Real Bed","TV,Internet,Wireless Internet,Air conditioning,Kitchen,Breakfast,Elevator in building,Hot tub,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",NA,56,94
"","Chopera","Condominium","Private room",1,1,1,1,"Real Bed","TV,Internet,Wireless Internet,Wheelchair accessible,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,First aid kit,Safety card,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron",NA,30,NA
"28045","Chopera","Apartment","Private room",1,1,1,1,"Real Bed","Internet,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo,24-hour check-in,Iron,Laptop friendly workspace",NA,25,96
"28045","Chopera","Apartment","Private room",3,1,1,2,"Real Bed","Internet,Wireless Internet,Kitchen,Smoking allowed,Pets live on this property,Elevator in building,Heating,Family/kid friendly",NA,21,83
"28045","Chopera","Apartment","Entire home/apt",2,1,1,1,"Real Bed","TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Washer,Essentials",NA,60,88
"28045","Delicias","Apartment","Entire home/apt",4,1,1,2,"Real Bed","TV,Internet,Wireless Internet,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,First aid kit,Essentials,Shampoo",NA,53,100
"28045","Delicias","House","Private room",1,2,1,1,"Real Bed","TV,Wireless Internet,Kitchen,Elevator in building,Heating,Washer,Essentials,Hangers,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",NA,18,NA
"28045","Delicias","Apartment","Private room",2,2,1,1,"Real Bed","TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Pool,Kitchen,Pets allowed,Doorman,Gym,Pets live on this property,Dog(s),Cat(s),Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50",NA,30,99
"28045","Delicias","Apartment","Entire home/apt",4,1,2,2,"Real Bed","TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Smoking allowed,Pets allowed,Breakfast,Elevator in building,Heating,Family/kid friendly,Washer,First aid kit,Fire extinguisher,Essentials,Shampoo",NA,65,100
"28045","Delicias","Apartment","Entire home/apt",8,2,4,5,"Real Bed","TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Heating,Family/kid friendly,Washer,Safety card,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron",NA,120,NA
"28045","Palos de Moguer","Condominium","Private room",1,1.5,1,1,"Real Bed","TV,Wireless Internet,Doorman,Elevator in building,Heating,First aid kit,Essentials",NA,22,NA
"28045","Palos de Moguer","Apartment","Entire home/apt",2,1,1,1,"Real Bed","TV,Wireless Internet,Kitchen,Heating,Washer,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",NA,49,96
"28045","Palos de Moguer","Apartment","Private room",1,1,1,1,"Real Bed","TV,Wireless Internet,Kitchen,Doorman,Elevator in building,Washer,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron",NA,33,97
"28045","Palos de Moguer","House","Entire home/apt",6,2,3,6,"Real Bed","TV,Internet,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Heating,Family/kid friendly,Washer,First aid kit,Fire extinguisher,Essentials,Shampoo",NA,200,100
"28012","Palos de Moguer","Apartment","Entire home/apt",3,1,2,2,"Real Bed","Internet,Wireless Internet,Kitchen,Buzzer/wireless intercom,Washer,Essentials",NA,36,84
"28045","Palos de Moguer","House","Private room",1,1,1,1,"Real Bed","Internet,Wireless Internet,Kitchen,Smoking allowed,Breakfast,Pets live on this property,Dog(s),Elevator in building,Indoor fireplace,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace",NA,33,100
"28045","Palos de Moguer","Apartment","Entire home/apt",4,1,1,2,"Real Bed","TV,Internet,Wireless Internet,Kitchen,Elevator in building,Heating,Washer,Essentials,Hangers,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",NA,60,95
"28045","Palos de Moguer","House","Private room",1,1,1,1,"Real Bed","Wireless Internet,Smoking allowed,Pets allowed,Pets live on this property,Elevator in building,Heating,Essentials,Shampoo",0,17,90
"28045","Palos de Moguer","Condominium","Private room",2,1,1,2,"Real Bed","TV,Cable TV,Internet,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Fire extinguisher,Essentials,Lock on bedroom door,24-hour check-in,Laptop friendly workspace",NA,30,88
"28012","Embajadores","Apartment","Entire home/apt",6,2,3,6,"Real Bed","TV,Internet,Kitchen,Elevator in building,Heating,Family/kid friendly",NA,180,89
"28012","Embajadores","Apartment","Entire home/apt",6,1,2,4,"Real Bed","TV,Cable TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Suitable for events,Washer,Dryer,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace",NA,45,58
"28012","Embajadores","House","Entire home/apt",4,1,1,3,"Real Bed","Internet,Wireless Internet,Kitchen,Smoking allowed,Elevator in building,Family/kid friendly,Washer,Hangers,Hair dryer,Iron",NA,40,82
"28012","Embajadores","Apartment","Entire home/apt",3,1,0,2,"Real Bed","TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace",NA,71,98
"28005","Embajadores","Apartment","Entire home/apt",2,1,1,1,"Real Bed","TV,Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Washer,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",NA,59,98
"28012","Embajadores","Apartment","Entire home/apt",4,1,1,1,"Real Bed","TV,Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,First aid kit,Safety card,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace",NA,48,100
"","Embajadores","Apartment","Entire home/apt",3,1,2,2,"Real Bed","TV,Wireless Internet,Kitchen,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Iron,Laptop friendly workspace",NA,55,94
"28005","Embajadores","Apartment","Private room",2,1,1,1,"Real Bed","TV,Wireless Internet,Kitchen,Smoking allowed,Washer,Essentials",NA,30,88
"28012","Embajadores","Apartment","Entire home/apt",3,1,2,2,"Real Bed","TV,Internet,Wireless Internet,Kitchen,Pets allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Essentials,Shampoo,Hangers",NA,45,71
"28012","Embajadores","Apartment","Entire home/apt",4,1,2,2,"Real Bed","TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Safety card,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace",NA,75,99
"28012","Embajadores","Apartment","Entire home/apt",4,2,2,2,"Real Bed","TV,Wireless Internet,Kitchen,Smoking allowed,Heating,Family/kid friendly,Washer,Dryer,Safety card,Fire extinguisher,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace,Private entrance",NA,100,NA
"28012","Embajadores","Apartment","Private room",1,1,1,1,"Real Bed","TV,Wireless Internet,Air conditioning,Smoking allowed,Pets live on this property,Other pet(s),Elevator in building,Heating,Washer,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",NA,30,60
"28012","Embajadores","Apartment","Private room",2,2,1,1,"Real Bed","Wireless Internet,Kitchen,Smoking allowed,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Lock on bedroom door,Hangers,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",NA,21,NA
"28005","Embajadores","Condominium","Entire home/apt",4,1,1,2,"Real Bed","Kitchen,Smoking allowed,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace",NA,50,92
"28012","Embajadores","Apartment","Private room",2,1,1,1,"Real Bed","Internet,Wireless Internet,Kitchen,Heating,Washer,Essentials,Hangers,Hair dryer,Iron",NA,30,100
"28005","Embajadores","Apartment","Entire home/apt",3,1,1,2,"Real Bed","TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Breakfast,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace",NA,65,97
"28005","Embajadores","Apartment","Entire home/apt",4,1,2,3,"Real Bed","TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo",409,85,94
"28012","Embajadores","Apartment","Private room",1,1,1,1,"Real Bed","TV,Wireless Internet,Kitchen,Smoking allowed,Elevator in building,Washer,Dryer,Essentials,Hangers,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",NA,21,NA
"28005","Embajadores","Apartment","Entire home/apt",12,4,5,9,"Real Bed","TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Breakfast,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace",NA,194,88
"28012","Embajadores","Apartment","Entire home/apt",3,1,1,1,"Real Bed","TV,Internet,Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Washer,Essentials,Hangers,Hair dryer,Iron",NA,65,94
"28012","Embajadores","Apartment","Entire home/apt",4,1,0,3,"Real Bed","TV,Internet,Wireless Internet,Kitchen,Pets allowed,Buzzer/wireless intercom,Heating,Washer,Smoke detector,Carbon monoxide detector,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",NA,70,96
"28005","Embajadores","Apartment","Private room",2,2,1,1,"Real Bed","TV,Internet,Wireless Internet,Kitchen,Pets live on this property,Heating,Essentials",NA,45,97
"28005","Embajadores","Apartment","Entire home/apt",4,1,1,2,"Real Bed","TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Breakfast,Heating,Family/kid friendly,Essentials,Shampoo",0,50,93
"28005","Embajadores","Apartment","Entire home/apt",2,1,1,1,"Real Bed","TV,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo,translation missing: en.hosting_amenity_50",NA,47,75
